ni,z0,zi,a,eps,p,f_cross,peak_cross_over_peak_total,throughput,hwhm_x,hwhm_y,ellipticity,energy_total
1.5,-10.0,6.0,3.6831655279934608,0.3,8,0.0110098145003962,0.004521539895004471,0.01862173864160343,0.34217691347011303,0.37013226111430814,0.9244720047908452,3.4813877880199504
1.5,-10.0,6.0,3.6831655279934608,0.5,0,0.00440875161656735,0.00204781747217027,0.12615066671863945,0.4151958255258082,0.4405634664670338,0.9424200078489172,159.3368820176568
1.5,-10.0,6.0,3.6831655279934608,0.5,2,0.006363071483501949,0.002667258507676172,0.06882193268028075,0.38895530143975204,0.41529240689291264,0.936581779449794,37.999638298384745
1.5,-10.0,6.0,3.6831655279934608,0.5,4,0.008322828849744113,0.003342348929804403,0.039824130076758786,0.36819212665529494,0.3952268151843794,0.9315970286164101,13.38803215761724
1.5,-10.0,6.0,3.6831655279934608,0.5,8,0.01101193785228908,0.0045488500608448475,0.018616911595693994,0.34169867898651,0.3696329154382873,0.9244270862115874,3.480472421466068
1.5,-10.0,6.0,3.6831655279934608,0.7,0,0.007609141139931171,0.003744045476968124,0.06352469281206752,0.3603059033075642,0.38663752571997756,0.9318958438827687,54.61545519603185
1.5,-10.0,6.0,3.6831655279934608,0.7,2,0.0084390143637371,0.0040227511100647305,0.046883703927429236,0.35347903620237686,0.380248722118467,0.9295995374634027,23.219369406511678
1.5,-10.0,6.0,3.6831655279934608,0.7,4,0.009375260330609732,0.004325424977474593,0.033626279767266634,0.34683415599834166,0.37404765445524857,0.9272459053471681,10.998964544484833
1.5,-10.0,6.0,3.6831655279934608,0.7,8,0.011188101883258845,0.004961265054531512,0.01816368432758693,0.3349694075811947,0.3629002675193446,0.9230343363231027,3.3903247834291967
1.5,-10.0,6.0,3.6831655279934608,0.85,0,0.011778069146024184,0.005773720963924795,0.0224355840011515,0.3233279084602185,0.35159767787502755,0.9195962567623747,10.520798238987075
