model,R,a,a_over_R,ni,z0,zi,qmax,peak_ratio_R_H2_over_H0,energy_ratio_R_H2_over_H0,peak_ratio_L_H1_over_H0,intensity_delta_from_H2
exact,0.8,0.68,0.85,1.5,2.5,5.0,451.12781954887214,0.000926475939477449,5.715821474591815e-06,0.0011622056754600136,0.001351667376018966
paraxial,0.8,0.68,0.85,1.8,5.0,10.0,270.67669172932335,0.0008927235869329762,5.376430126484581e-06,0.0011175611968830235,0.0013061739210408411
paraxial,0.8,0.5599999999999999,0.7,1.5,5.0,10.0,225.56390977443607,0.0008674751553782574,5.060134110090261e-06,0.001086033760724767,0.0012651135155779863
paraxial,1.0,0.7,0.7,2.0,5.0,10.0,375.9398496240602,0.0008131087313569389,4.46982570556142e-06,0.00101786124764818,0.0011927129861809987
paraxial,0.8,0.68,0.85,2.0,5.0,10.0,300.75187969924815,0.0007651729364254105,3.953013322949561e-06,0.0009579937274398975,0.001120826270707523
exact,1.2,1.14,0.95,1.8,5.0,10.0,406.01503759398497,0.0006861549081639664,3.1636719909108193e-06,0.0008598054925024561,0.0010069763044979094
exact,1.2,1.14,0.95,1.5,5.0,10.0,338.3458646616541,0.0006713974365441181,3.0170904813347393e-06,0.0008417737861786666,0.0009827133601846819
exact,1.6,1.1199999999999999,0.7,1.8,5.0,10.0,541.3533834586467,0.0006626769644605766,2.9554228534371235e-06,0.0008305181162629279,0.0009734680141056637
exact,0.8,0.5599999999999999,0.7,1.8,2.5,5.0,541.3533834586467,0.0006627707577601788,2.948263539444625e-06,0.0008305290796149868,0.0009712923241420272
exact,1.6,1.1199999999999999,0.7,1.5,5.0,10.0,451.12781954887214,0.0006489504100732752,2.8228337901601645e-06,0.0008136022149501675,0.0009509932406456073
exact,0.8,0.5599999999999999,0.7,1.5,2.5,5.0,451.12781954887214,0.0006489537156686986,2.8152804354910617e-06,0.0008135543496008289,0.0009480750934236618
paraxial,0.8,0.5599999999999999,0.7,1.8,5.0,10.0,270.67669172932335,0.0006071924183297654,2.4837638147534672e-06,0.0007601734149207368,0.0008875672645784648
exact,1.2,1.02,0.85,1.8,5.0,10.0,406.01503759398497,0.0005524511082585684,2.05386252386565e-06,0.0006921369181754608,0.000810849940622763
exact,1.2,1.02,0.85,1.5,5.0,10.0,338.3458646616541,0.0005428003845378571,1.9758011146503856e-06,0.0006803612187574806,0.0007949212168823422
paraxial,0.8,0.5599999999999999,0.7,2.0,5.0,10.0,300.75187969924815,0.0005204924943103961,1.8263666033753848e-06,0.000651586443997181,0.0007615729330567809
exact,1.0,0.95,0.95,1.8,5.0,10.0,338.34586466165416,0.0004833995611150612,1.5719406728744926e-06,0.0006055068713395524,0.0007090072080865852
